X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1464004.99990147,537276.000115812,1,1,20260714-1846-01,,Male,Black,Open,,,1400 EASTCREST DR,1464005,537276,35.212953,-80.794612,Eastway,86,,Other/Unknown,1,4,,2026,07,2026/07/14 00:00:00+00
1476960.99990806,523536.000036806,2,2,20260712-0716-01,31,Female,Black,Open,,Handgun,7100 WALLACE RD,1476961,523536,35.175842,-80.750431,Independence,245,,Argument,5,4,,2026,07,2026/07/12 00:00:00+00
1457911.99994838,550439.000036478,3,3,20260710-1948-01,20,Male,Black,Open,,Firearm,2700 N TRYON ST,1457912,550439,35.24881,-80.815814,Metro,369,,Robbery,1,3,GRAHAM STREET/NORTH TRYON,2026,07,2026/07/10 00:00:00+00
1478441.99989881,566388.999960557,4,4,20260707-0045-01,20,Male,Black,Open,,Firearm,8200 UNIVERSITY CITY BV,1478442,566389,35.293641,-80.748001,University City,219,2026/07/16 00:00:00+00,Other/Unknown,4,3,,2026,07,2026/07/07 00:00:00+00
1433380.00012797,556703.99997364,5,5,20260628-0930-01,27,Female,Black,Open,,Handgun,900 WABASH AV,1433380,556704,35.264761,-80.89837,Freedom,346,2026/07/02 00:00:00+00,Argument,2,2,,2026,06,2026/06/28 00:00:00+00
1444125.99996139,523944.999874979,6,6,20260619-2118-02,23,Female,Black,Cleared by Arrest by Another Agency,Intimate Partner,Knife,1100 SCALEYBARK RD,1444126,523945,35.175325,-80.860319,Westover,13,2026/06/22 00:00:00+00,Domestic,1,5,,2026,06,2026/06/19 00:00:00+00
1424987.99985164,567074.999900892,7,7,20260618-0937-02,51,Female,Black,Open,,Unknown,6800 CIERA NICHOLE CT,1424988,567075,35.292807,-80.927153,Freedom,137,2026/06/21 00:00:00+00,Domestic,2,2,,2026,06,2026/06/18 00:00:00+00
1447767.99989522,557368.999955982,8,8,20260615-0108-00,46,Male,Black,Open,,Firearm,2100 HOLLY ST,1447768,557369,35.267334,-80.850218,Metro,374,,Argument,2,3,,2026,06,2026/06/15 00:00:00+00
1483049.99986914,540530.999839395,9,9,20260614-1059-01,30,Male,Black,Open,,Handgun,5800 HICKORY GROVE RD,1483050,540531,35.222825,-80.731049,Hickory Grove,166,,Other/Unknown,5,4,,2026,06,2026/06/14 00:00:00+00
1446506.00012264,545794.000140145,10,10,20260610-0642-00,27,Male,Asian,Open,,Knife,1000 W TRADE ST,1446506,545794,35.235471,-80.853721,Central,476,2026/06/18 00:00:00+00,Other/Unknown,2,4,,2026,06,2026/06/10 00:00:00+00
1432426.00006747,544579.99994348,11,11,20260603-1129-00,18,Male,Black,Cleared by Arrest by Another Agency,,Handgun,3900 BRISTOL DR,1432426,544580,35.231404,-80.900788,Freedom,387,2026/06/04 00:00:00+00,Robbery,3,2,FREEDOM DRIVE/WILKINSON,2026,06,2026/06/03 00:00:00+00
1450765.00013481,545353.000037894,12,12,20260522-1809-01,44,Male,Black,Open,,Handgun,900 N PINE ST,1450765,545353,35.234477,-80.839433,Central,476,,Other/Unknown,2,4,,2026,05,2026/05/22 00:00:00+00
