NPA,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2,"61.1%","75%","83.3%","85.7%","90%","90%","66.7%","70%","83.3%","60%","100%"
3,"87.5%","91.4%","100%","100%","94.6%","89.5%","93.9%","90.9%","92.1%","93%","100%"
4,"100%","100%","100%","100%","91.7%","85%","100%","100%","100%","100%","100%"
5,"80%","50%","100%","80%","76.9%","--","--","62.5%","75%","42.9%","83.3%"
6,"56.3%","61.9%","61.1%","72%","87.5%","76.2%","94.7%","64.3%","60%","75%","90.5%"
7,"83.3%","100%","100%","--","100%","100%","--","100%","100%","100%","100%"
8,"--","--","--","--","--","--","--","100%","83.3%","81.8%","83.3%"
9,"--","--","--","--","--","--","--","--","--","--","--"
10,"58.8%","56%","60.9%","70.8%","88.5%","--","--","72.7%","57.1%","78.9%","56.3%"
11,"100%","100%","100%","100%","100%","94.7%","95%","92.3%","100%","100%","95.5%"
12,"51.7%","85%","77.8%","77.8%","86.5%","90.5%","100%","81.8%","86.8%","70.5%","69.4%"
13,"50%","64.3%","60%","76.9%","83.3%","--","76.9%","70%","58.8%","78.9%","86.2%"
14,"94.7%","97.2%","96.9%","91.5%","92.7%","87%","80%","94.6%","78.9%","78.8%","90.6%"
15,"80%","90.9%","100%","100%","100%","--","83.3%","100%","93.3%","100%","81.8%"
16,"70%","80%","75%","93.6%","92.7%","84.8%","86.5%","83%","84.6%","94.6%","86%"
17,"77.5%","81%","80.8%","90.9%","77.5%","77.4%","94.7%","77.1%","74.1%","90.6%","82.8%"
18,"88.2%","90.9%","88.9%","100%","100%","83.9%","96.3%","93.5%","90.9%","90.5%","100%"
19,"92.6%","86.7%","88%","96.8%","100%","96.9%","93.5%","100%","100%","96.2%","100%"
20,"100%","96.3%","100%","85%","100%","87%","82.8%","97.1%","93.1%","100%","96.7%"
21,"54.5%","57.1%","90%","89.7%","92.3%","81.8%","85.7%","88.5%","84%","73.3%","88%"
22,"33.3%","--","--","--","--","--","--","83.3%","--","--","--"
23,"88.2%","81.8%","66.7%","88.9%","78.6%","--","--","80%","83.3%","100%","90%"
24,"76.9%","66.7%","66.7%","76.9%","91.7%","--","--","70%","71.4%","57.1%","--"
25,"100%","97.6%","93.8%","94.4%","100%","95.7%","81.8%","100%","100%","95.9%","100%"
26,"92.5%","89.7%","100%","92%","95.5%","84%","75.9%","91.7%","79.3%","100%","86.7%"
27,"77.8%","96.2%","89.5%","94.4%","100%","95.1%","89.5%","92.7%","91.2%","82.9%","100%"
28,"--","100%","80%","100%","--","--","100%","92.3%","100%","100%","100%"
29,"80%","100%","88.9%","100%","90.9%","100%","--","94.4%","100%","90.9%","100%"
30,"50%","57.1%","78.6%","78.9%","73.3%","69.2%","66.7%","54.2%","56.3%","45.5%","48%"
31,"100%","100%","100%","100%","100%","94.4%","--","95.2%","94.4%","100%","100%"
32,"100%","--","--","--","--","--","--","--","--","--","--"
33,"100%","--","80%","60%","--","--","--","100%","100%","100%","100%"
34,"77.3%","78.3%","93.3%","81%","90%","90.9%","90.5%","73%","79.3%","89.7%","85.7%"
35,"58.8%","83.3%","75%","90.9%","--","72.7%","81.8%","86.4%","57.1%","90%","95%"
36,"92.3%","91.7%","100%","100%","88.2%","80%","90.9%","93.8%","92.3%","80%","90%"
37,"69.2%","80%","87.5%","62.5%","88.2%","--","84.6%","88.9%","85.7%","58.3%","71.4%"
38,"84.4%","95%","91.3%","100%","95.8%","92%","85%","94.1%","100%","92.3%","100%"
39,"87.5%","84.2%","83.3%","86.8%","89.1%","87.5%","86.1%","94%","83%","90%","86.8%"
40,"60%","71%","100%","76.7%","72.7%","70.6%","80%","82.9%","86.8%","71.4%","82.6%"
41,"66.7%","88.9%","81.3%","94.7%","84.2%","--","--","100%","63.6%","100%","80%"
42,"81.8%","57.1%","100%","84.6%","100%","100%","100%","100%","94.1%","100%","91.3%"
43,"86.7%","88.9%","100%","100%","100%","85.7%","--","100%","84.2%","86.7%","93.8%"
44,"--","--","--","--","--","--","--","--","--","--","--"
45,"88%","89.5%","100%","100%","93.1%","90.2%","84.9%","96.5%","92.9%","87.8%","92.7%"
46,"72%","83.3%","90%","86.7%","88.9%","90.5%","84.2%","79.3%","89.5%","87.5%","91.3%"
47,"--","--","--","--","--","--","--","--","--","--","--"
48,"92.6%","92.6%","87%","97.1%","100%","76.9%","85.7%","91.7%","82.6%","95.7%","90.9%"
49,"79.2%","76.9%","80.8%","80.8%","88.2%","75%","88.5%","91.7%","78.9%","88.9%","95%"
50,"63.5%","87.2%","83.3%","71.4%","73.3%","84.6%","75%","85.4%","61.9%","88%","90.3%"
51,"100%","--","--","80%","--","--","--","--","--","--","--"
52,"61.9%","58.8%","66.7%","64.7%","92.9%","--","--","77.3%","50%","87.5%","66.7%"
53,"58.6%","64%","90%","61.8%","83.3%","90.9%","89.7%","66.7%","64.7%","82.1%","72.4%"
54,"62.5%","77.8%","81.3%","78.6%","88.9%","84.6%","83.3%","80%","85.2%","77.8%","88.2%"
55,"83.3%","87.5%","72.2%","100%","93.8%","88.9%","92.3%","94.1%","92.9%","87.5%","88.9%"
56,"100%","77.8%","100%","100%","--","92.9%","75%","100%","100%","100%","--"
57,"60%","70%","88%","83.3%","66.7%","100%","87%","88.2%","86.4%","81.8%","72.2%"
58,"53.8%","78.3%","93.3%","86.7%","87.5%","92.3%","92.3%","90.9%","77.8%","89.5%","82.4%"
59,"55%","66.7%","78.6%","88.9%","81.8%","94.1%","94.7%","86.4%","71.4%","90.5%","88.9%"
60,"54.5%","75%","83.3%","92.9%","100%","76.9%","--","58.3%","75%","88.9%","91.7%"
61,"62.5%","100%","88.9%","90%","90.9%","--","--","100%","100%","88.9%","91.7%"
62,"--","--","--","--","--","--","--","--","--","--","--"
64,"75%","61.5%","94.1%","81.3%","81.8%","63.6%","86.7%","93.3%","84.2%","84.2%","82.6%"
65,"--","--","--","100%","--","--","90.9%","90%","100%","90.9%","87.5%"
66,"100%","88.9%","80%","--","--","--","--","100%","100%","100%","70%"
67,"--","--","--","--","--","--","--","--","--","--","100%"
68,"86.4%","88.5%","96.7%","96.4%","95.7%","92%","90%","92%","90%","85.2%","82.8%"
69,"80%","100%","85.7%","100%","100%","--","93.3%","91.7%","100%","100%","100%"
70,"81.8%","76.9%","72.2%","100%","61.5%","100%","94.1%","88.9%","78.6%","58.3%","100%"
71,"60%","80%","75%","69%","77.8%","95.7%","83.3%","79.4%","63.4%","80%","87.9%"
