NPA,2013,2015,2017,2019,2021,2023
2,"$180,860","$217,563","$243,487","$295,527","$336,581","$488,364"
3,"$391,928","$467,716","$455,722","$527,573","$561,120","$667,092"
4,"$845,392","$810,017","$948,023","$1,480,988","$1,295,555","$1,493,043"
5,"$45,200","--","$65,500","$139,958","$153,707","$255,031"
6,"$55,545","$41,056","$90,938","$152,545","$225,545","$445,698"
7,"$1,509,529","$1,656,526","$1,617,145","$1,977,357","$1,980,920","$2,660,173"
8,"$229,197","$233,714","$300,120","$402,022","$457,216","$529,911"
9,"$245,591","$260,211","$428,915","$531,657","$630,399","$760,989"
10,"$107,523","$141,766","$242,801","$335,259","$317,271","$478,229"
11,"$455,198","$529,879","$638,239","$802,460","$804,054","$1,024,397"
12,"$31,576","$73,375","$55,765","$83,273","$100,922","$126,655"
13,"$215,811","$220,338","$243,171","$333,715","$354,641","$481,946"
14,"$140,580","$147,721","$171,280","$199,337","$226,713","$357,567"
15,"$251,774","$277,405","$313,495","$360,174","$414,355","$581,844"
16,"$107,564","$109,167","$133,356","$169,936","$185,067","$273,196"
17,"$81,929","$686,531","$114,727","$159,583","$175,262","$293,365"
18,"$559,354","$667,693","$799,243","$894,145","$846,554","$798,392"
19,"$232,809","$297,964","$264,836","$334,194","$349,608","$418,373"
20,"$192,852","$206,943","$245,211","$283,997","$311,431","$418,173"
21,"$115,917","$183,875","$218,229","$351,641","$273,781","$390,925"
22,"$112,591","$180,556","$181,022","$394,846","$416,874","$481,698"
23,"$107,088","$117,045","$153,140","$187,190","$227,735","$591,028"
24,"$194,133","$212,095","$284,000","$391,435","$405,427","$327,208"
25,"$278,157","$260,747","$329,761","$342,823","$363,035","$478,299"
26,"$152,858","$157,647","$201,085","$218,140","$247,722","$899,528"
27,"$109,670","$110,555","$143,198","$163,870","$223,200","$549,583"
28,"$499,582","$768,978","$717,734","$720,823","$865,864","$370,635"
29,"$210,130","$224,936","$257,603","$288,558","$317,132","$291,169"
30,"--","--","$353,258","$410,957","$475,966","$475,891"
31,"$423,941","$455,557","$498,833","$456,127","$580,549","$772,069"
32,"$92,033","$110,727","$121,110","$155,125","$177,412","$234,593"
33,"$137,708","--","--","--","$182,313","$276,500"
34,"$84,784","$82,783","$138,668","$187,097","$176,099","$321,646"
35,"$238,650","$240,167","$286,479","$304,482","$312,998","$372,714"
36,"$176,159","$169,106","$185,266","$222,054","$252,623","$435,040"
37,"$124,848","$125,939","$216,989","$351,436","$397,265","$348,955"
38,"$196,225","$211,665","$213,188","$258,121","$272,521","$573,136"
39,"$123,591","$133,277","$145,160","$180,627","$224,972","$1,772,045"
40,"$68,846","$70,364","$98,936","$141,909","$178,147","$367,974"
41,"$97,563","$147,653","$135,232","$154,090","$193,996","$254,669"
42,"$265,659","$474,760","$231,429","$265,340","$274,823","$247,895"
43,"$379,645","$429,851","$413,886","$539,458","$619,871","$338,218"
44,"$726,705","$958,400","$967,156","$1,161,891","$1,199,231","$764,958"
45,"$226,602","$231,130","$262,174","$294,133","$325,792","$434,200"
46,"$115,042","$124,480","$144,827","$188,707","$249,053","$325,353"
47,"--","--","--","--","--","$311,143"
48,"$121,500","$410,368","$136,189","$173,707","$216,194","$581,879"
49,"$121,045","$136,207","$162,127","$189,027","$223,826","$832,500"
50,"$71,708","$67,842","$96,058","$140,556","$172,412","$293,935"
51,"$222,345","$233,327","$272,991","$350,402","$429,178","$335,791"
52,"$99,833","$110,722","$140,538","$176,286","$220,625","$264,568"
53,"$60,553","$82,029","$109,783","$139,028","$157,757","$520,548"
54,"$50,182","$56,114","$90,735","$126,167","$132,202","$301,079"
55,"$224,486","$240,478","$284,992","$403,289","$362,095","$253,260"
56,"$274,583","$287,342","$196,466","$238,893","$297,375","--"
57,"$34,875","$107,500","$62,408","$143,736","$193,396","$352,770"
58,"$111,583","$127,969","$152,684","$195,159","$220,705","$222,328"
59,"$97,972","$99,542","$99,557","$150,270","$172,452","$965,152"
60,"$81,385","--","$91,188","$105,063","$170,308","$321,864"
61,"$120,278","$124,300","$137,861","$187,771","$214,456","$259,980"
62,"--","--","--","--","--","$226,333"
64,"$59,036","$85,615","$73,685","$101,888","$128,121","$328,737"
65,"--","--","--","--","--","$445,947"
66,"$137,231","$140,400","$138,159","$153,212","$179,600","$372,176"
67,"--","--","--","--","--","--"
68,"$138,670","$131,371","$150,000","$178,314","$213,559","--"
69,"$471,419","$591,296","$645,204","$663,857","$931,450","$181,539"
70,"$45,667","$42,286","$66,674","$119,310","$159,098","$257,780"
71,"$122,565","$121,792","$133,925","$137,219","$147,640","$1,275,531"
72,"$130,919","$128,838","$137,870","$172,829","$194,000","--"
73,"$152,454","$136,787","$172,536","$216,011","$232,215","$489,675"
74,"$120,398","$135,264","$145,657","$178,138","$199,176","$312,952"
75,"$254,698","$292,986","$324,895","$314,193","$334,903","$259,033"
76,"$206,780","$229,740","$249,355","$272,663","$334,100","$297,141"
77,"$154,219","$157,004","$195,458","$226,112","$249,195","--"
78,"$194,610","$184,235","$183,995","$233,063","$261,253","$292,350"
79,"--","--","--","--","--","$304,046"
80,"$99,286","$104,632","$116,138","$139,014","$172,349","$318,182"
81,"$143,162","$152,536","$179,520","$204,162","$242,887","$295,565"
82,"$198,121","$185,314","$181,670","$234,178","$246,304","$302,500"
83,"$304,429","$278,542","$365,200","$406,833","$462,733","$165,684"
84,"$124,000","--","$296,409","$431,654","$447,269","$344,791"
85,"$50,250","$32,500","$55,444","$100,111","$131,724","$272,712"
86,"$60,813","$128,700","$108,409","$203,844","$240,528","$454,765"
87,"$156,563","$178,881","$275,234","$309,635","$326,855","$342,462"
88,"$53,667","$38,375","$65,143","$99,500","$132,380","$239,152"
89,"$87,190","$89,977","$117,609","$161,585","$176,814","$330,630"
90,"$137,542","$125,941","$192,971","$244,394","$248,450","$358,163"
91,"$94,794","$101,315","$127,625","$163,904","$263,935","$330,051"
92,"$180,712","$171,532","$193,320","$222,214","$261,726","$676,467"
93,"--","--","--","--","--","$284,554"
94,"--","$53,100","$92,500","$123,083","$150,804","$341,948"
95,"$139,179","$151,580","$178,949","$215,217","$261,289","$372,534"
96,"$128,136","$132,946","$162,461","$188,548","$215,795","$295,964"
97,"$148,801","$158,063","$162,973","$196,080","$240,547","$289,979"
98,"$127,197","$130,774","$165,029","$179,136","$224,014","$375,145"
99,"$154,884","$158,809","$213,705","$253,719","$275,387","$343,438"
100,"$57,250","--","$98,630","$135,026","$241,891","$252,679"
101,"--","--","--","--","$163,208","$342,375"
102,"$93,833","$81,778","$98,611","$139,022","$175,125","$458,319"
103,"$50,643","--","$81,762","$111,864","$245,581","$327,236"
105,"$218,032","$225,285","$285,965","$307,543","$342,044","$416,477"
106,"--","$225,222","$278,188","$315,143","$370,667","$291,460"
107,"$96,694","$94,619","$121,074","$153,337","$182,279","$323,456"
