NPA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2002 Raw,2003 Raw,2004 Raw,2005 Raw,2006 Raw,2007 Raw,2008 Raw,2009 Raw,2010 Raw,2011 Raw,2012 Raw,2013 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
2,"2","3","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","2","1","1","1","1,012","1,099","959","923","873","883","880","804","800","864","1,172","1,165","1,045","1,151","1,218","1,211","1,118","1,010","531","551","580"
3,"20","19","20","20","21","22","23","26","26","25","27","29","29","28","28","31","30","34","36","32","31","22,684","22,394","22,617","23,184","24,426","25,558","27,147","29,621","29,838","29,102","31,177","33,915","33,769","32,237","32,387","35,803","34,496","39,679","41,328","36,582","35,685"
4,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","289","324","318","330","391","143","109","86","51","55","65","70","54","41","93","82","108","92","84","103","102"
5,"2","2","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","273","262","161","171","77","102","136","120","134","152","127","130","129","139","179","217","235","194","153","163","205"
6,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","787","760","779","815","835","806","905","721","705","673","705","753","903","806","863","713","607","548","571","651","895"
7,"8","6","6","5","7","7","6","7","7","7","7","7","8","7","6","6","6","4","5","5","6","4,237","3,365","3,266","2,951","4,038","3,861","3,399","3,749","3,912","4,093","3,743","4,082","4,165","3,633","3,213","3,121","3,216","2,442","2,644","2,696","3,468"
8,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","776","720","827","684","761","558","565","524","494","560","803","647","683","609","533","571","529","571","561","568","566"
9,"1","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","2","58","52","37","52","46","47","48","48","53","63","101","126","40","42","46","48","51","55","91","128","149"
10,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","697","724","731","821","723","440","486","476","384","434","566","613","600","647","661","710","600","616","625","691","695"
11,"4","4","4","4","4","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","5","1,889","1,844","1,860","1,865","2,181","1,645","1,593","1,388","1,282","1,296","1,452","1,526","1,544","1,589","1,814","1,853","1,967","1,845","1,829","2,001","2,592"
12,"2","2","3","2","2","1","1","2","2","5","5","1","1","1","1","1","1","1","1","1","1","305","327","511","387","360","228","173","245","309","838","726","110","105","93","83","191","123","80","87","115","175"
13,"3","3","3","3","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","1,248","1,300","1,144","1,151","1,150","1,046","1,075","873","971","1,282","1,444","1,453","1,395","1,287","1,437","1,426","1,174","1,202","1,335","1,308","1,298"
14,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","428","417","362","385","421","401","371","292","330","322","352","364","371","380","370","391","330","296","191","287","435"
15,"0","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","330","327","348","347","338","391","388","372","340","364","390","384","446","438","428","450","416","439","437","497","562"
16,"3","3","2","2","2","3","2","2","3","2","2","2","3","3","3","3","2","2","3","3","2","1,847","2,019","1,691","1,635","1,570","1,979","1,595","1,682","2,064","1,711","1,811","1,806","2,007","2,028","1,962","2,151","1,776","1,802","2,126","1,924","1,592"
17,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","313","324","410","357","331","446","376","350","319","293","254","276","275","280","327","337","327","328","349","344","367"
