NPA,employment_2023,grad_2023,job_density_2022,home_price_2021,home_price_2023,homicide_count
2,95.6,100.0,1,336581.0,488364.0,2
3,97.4,100.0,31,561120.0,667092.0,5
4,94.3,100.0,0,1295555.0,1493043.0,0
5,82.8,83.3,1,153707.0,255031.0,3
6,100.0,90.5,2,225545.0,445698.0,11
7,96.6,100.0,6,1980920.0,2660173.0,0
8,100.0,83.3,1,457216.0,529911.0,2
9,100.0,,2,630399.0,760989.0,0
10,95.8,56.3,1,317271.0,478229.0,5
11,99.0,95.5,5,804054.0,1024397.0,0
12,96.2,69.4,1,100922.0,126655.0,5
13,96.9,86.2,3,354641.0,481946.0,3
14,100.0,90.6,1,226713.0,357567.0,1
15,99.0,81.8,1,414355.0,581844.0,0
16,92.8,86.0,2,185067.0,273196.0,7
17,87.8,82.8,1,175262.0,293365.0,5
18,96.8,100.0,2,846554.0,798392.0,0
19,94.7,100.0,1,349608.0,418373.0,0
20,100.0,96.7,1,311431.0,418173.0,0
21,98.4,88.0,3,273781.0,390925.0,13
22,99.6,,6,416874.0,481698.0,4
23,100.0,90.0,2,227735.0,591028.0,1
24,100.0,,3,405427.0,327208.0,0
25,92.4,100.0,1,363035.0,478299.0,0
26,96.0,86.7,0,247722.0,899528.0,0
27,93.9,100.0,0,223200.0,549583.0,0
28,100.0,100.0,6,865864.0,370635.0,1
29,94.5,100.0,1,317132.0,291169.0,0
30,93.8,48.0,8,475966.0,475891.0,10
31,100.0,100.0,0,580549.0,772069.0,0
32,92.1,,17,177412.0,234593.0,0
33,100.0,100.0,3,182313.0,276500.0,0
34,90.4,85.7,0,176099.0,321646.0,3
35,97.3,95.0,2,312998.0,372714.0,1
36,98.7,90.0,1,252623.0,435040.0,3
37,93.2,71.4,1,397265.0,348955.0,2
38,97.1,100.0,5,272521.0,573136.0,2
39,94.0,86.8,0,224972.0,1772045.0,1
40,91.5,82.6,0,178147.0,367974.0,6
41,100.0,80.0,1,193996.0,254669.0,0
42,95.0,91.3,1,274823.0,247895.0,1
43,100.0,93.8,1,619871.0,338218.0,0
44,95.9,,2,1199231.0,764958.0,0
45,96.6,92.7,2,325792.0,434200.0,2
46,93.8,91.3,1,249053.0,325353.0,0
47,77.5,,5,,311143.0,0
48,90.6,90.9,0,216194.0,581879.0,1
49,99.2,95.0,0,223826.0,832500.0,2
50,100.0,90.3,1,172412.0,293935.0,1
51,97.8,,4,429178.0,335791.0,6
52,93.3,66.7,3,220625.0,264568.0,6
53,93.8,72.4,2,157757.0,520548.0,11
54,91.8,88.2,3,132202.0,301079.0,5
55,97.4,88.9,3,362095.0,253260.0,1
56,96.1,,6,297375.0,,0
57,94.0,72.2,5,193396.0,352770.0,1
58,94.4,82.4,2,220705.0,222328.0,8
59,96.9,88.9,4,172452.0,965152.0,4
60,96.3,91.7,1,170308.0,321864.0,8
61,96.9,91.7,1,214456.0,259980.0,2
62,73.3,,13,,226333.0,2
64,96.3,82.6,2,128121.0,328737.0,3
65,99.4,87.5,1,,445947.0,4
66,95.6,70.0,12,179600.0,372176.0,1
67,100.0,100.0,1,,,1
68,98.3,82.8,3,213559.0,,3
69,98.2,100.0,2,931450.0,181539.0,0
70,85.1,100.0,1,159098.0,257780.0,3
71,89.2,87.9,0,147640.0,1275531.0,10
72,97.9,80.0,3,194000.0,,5
73,97.1,80.8,1,232215.0,489675.0,2
74,90.7,90.0,3,199176.0,312952.0,0
75,97.1,100.0,1,334903.0,259033.0,0
76,95.8,96.8,0,334100.0,297141.0,1
77,93.3,86.7,1,249195.0,,0
78,89.7,76.7,6,261253.0,292350.0,0
79,92.1,58.8,1,,304046.0,5
80,100.0,92.3,0,172349.0,318182.0,2
81,85.5,88.9,1,242887.0,295565.0,1
82,97.1,86.2,2,246304.0,302500.0,3
83,90.3,71.9,0,462733.0,165684.0,1
